Complex,Year,var,value
SPReefPoint,2006,walleye pollock_MeanCPUEkg,14442.0966098696
SPReefPoint,2006,walleye pollock_MeanCPUENo,20155.9036504239
SPReefPoint,2006,walleye pollock_SumCPUEkg,1328672.888108
SPReefPoint,2006,walleye pollock_SumCPUENo,1854343.135839
SPReefPoint,2007,walleye pollock_MeanCPUEkg,13807.5511927419
SPReefPoint,2007,walleye pollock_MeanCPUENo,20927.3658603333
SPReefPoint,2007,walleye pollock_SumCPUEkg,1284102.260925
SPReefPoint,2007,walleye pollock_SumCPUENo,1946245.025011
SPReefPoint,2008,walleye pollock_MeanCPUEkg,10799.7922485435
SPReefPoint,2008,walleye pollock_MeanCPUENo,12460.5038876522
SPReefPoint,2008,walleye pollock_SumCPUEkg,993580.886866
SPReefPoint,2008,walleye pollock_SumCPUENo,1146366.357664
SPReefPoint,2009,walleye pollock_MeanCPUEkg,9519.98229851613
SPReefPoint,2009,walleye pollock_MeanCPUENo,13252.0402399892
SPReefPoint,2009,walleye pollock_SumCPUEkg,885358.353762
SPReefPoint,2009,walleye pollock_SumCPUENo,1232439.742319
SPReefPoint,2010,walleye pollock_MeanCPUEkg,13750.3342745435
SPReefPoint,2010,walleye pollock_MeanCPUENo,19098.3871543478
SPReefPoint,2010,walleye pollock_SumCPUEkg,1265030.753258
SPReefPoint,2010,walleye pollock_SumCPUENo,1757051.6182
SPReefPoint,2011,walleye pollock_MeanCPUEkg,12332.1412230217
SPReefPoint,2011,walleye pollock_MeanCPUENo,18057.6275597826
SPReefPoint,2011,walleye pollock_SumCPUEkg,1134556.992518
SPReefPoint,2011,walleye pollock_SumCPUENo,1661301.7355
SPReefPoint,2012,walleye pollock_MeanCPUEkg,13403.6307793333
SPReefPoint,2012,walleye pollock_MeanCPUENo,26283.7723866989
SPReefPoint,2012,walleye pollock_SumCPUEkg,1246537.662478
SPReefPoint,2012,walleye pollock_SumCPUENo,2444390.831963
SPReefPoint,2013,walleye pollock_MeanCPUEkg,17609.2651465699
SPReefPoint,2013,walleye pollock_MeanCPUENo,29029.270153914
SPReefPoint,2013,walleye pollock_SumCPUEkg,1637661.658631
SPReefPoint,2013,walleye pollock_SumCPUENo,2699722.124314
SPReefPoint,2014,walleye pollock_MeanCPUEkg,25425.9025907609
SPReefPoint,2014,walleye pollock_MeanCPUENo,37224.8935120217
SPReefPoint,2014,walleye pollock_SumCPUEkg,2339183.03835
SPReefPoint,2014,walleye pollock_SumCPUENo,3424690.203106
SPReefPoint,2015,walleye pollock_MeanCPUEkg,19318.6009717174
SPReefPoint,2015,walleye pollock_MeanCPUENo,32622.9709136413
SPReefPoint,2015,walleye pollock_SumCPUEkg,1777311.289398
SPReefPoint,2015,walleye pollock_SumCPUENo,3001313.324055
SPReefPoint,2016,walleye pollock_MeanCPUEkg,10450.0944823011
SPReefPoint,2016,walleye pollock_MeanCPUENo,17190.8854086344
SPReefPoint,2016,walleye pollock_SumCPUEkg,971858.786854
SPReefPoint,2016,walleye pollock_SumCPUENo,1598752.343003
SPReefPoint,2017,walleye pollock_MeanCPUEkg,13679.2233502609
SPReefPoint,2017,walleye pollock_MeanCPUENo,24562.6573159891
SPReefPoint,2017,walleye pollock_SumCPUEkg,1258488.548224
SPReefPoint,2017,walleye pollock_SumCPUENo,2259764.473071
SPReefPoint,2018,walleye pollock_MeanCPUEkg,5584.46976417391
SPReefPoint,2018,walleye pollock_MeanCPUENo,10082.1431569457
SPReefPoint,2018,walleye pollock_SumCPUEkg,513771.218304
SPReefPoint,2018,walleye pollock_SumCPUENo,927557.170439
SPReefPoint,2019,walleye pollock_MeanCPUEkg,15958.2804564946
SPReefPoint,2019,walleye pollock_MeanCPUENo,22540.6987980753
SPReefPoint,2019,walleye pollock_SumCPUEkg,1484120.082454
SPReefPoint,2019,walleye pollock_SumCPUENo,2096284.988221
SPReefPoint,2021,walleye pollock_MeanCPUEkg,7092.78094819565
SPReefPoint,2021,walleye pollock_MeanCPUENo,11513.6474587174
SPReefPoint,2021,walleye pollock_SumCPUEkg,652535.847234
SPReefPoint,2021,walleye pollock_SumCPUENo,1059255.566202
SPReefPoint,2022,walleye pollock_MeanCPUEkg,18075.9544690645
SPReefPoint,2022,walleye pollock_MeanCPUENo,32486.5810844946
SPReefPoint,2022,walleye pollock_SumCPUEkg,1681063.765623
SPReefPoint,2022,walleye pollock_SumCPUENo,3021252.040858
SGNorth,1987,bottS,4.0688328742981
SGSouth,1987,bottS,4.26563310623169
SPEast,1987,bottS,3.11520028114319
SPEnglishBay,1987,bottS,3.19865369796753
SPReefPoint,1987,bottS,3.79242277145386
SGNorth,1988,bottS,2.91558480262756
SGSouth,1988,bottS,3.67599034309387
SPEast,1988,bottS,1.41553592681885
SPEnglishBay,1988,bottS,1.75741899013519
SPReefPoint,1988,bottS,2.41957187652588
SGNorth,1989,bottS,3.28635835647583
