value,Complex,var,Month,Year
8.44271469116211,SPEnglishBay,sstRe,09,1993
8.74328994750977,SPReefPoint,sstRe,09,1993
7.07601118087769,SGNorth,sstRe,10,1993
7.148277759552,SGSouth,sstRe,10,1993
5.83070135116577,SPEast,sstRe,10,1993
6.23035860061646,SPEnglishBay,sstRe,10,1993
6.64658546447754,SPReefPoint,sstRe,10,1993
5.98096466064453,SGNorth,sstRe,11,1993
5.98697090148926,SGSouth,sstRe,11,1993
5.19086790084839,SPEast,sstRe,11,1993
5.3969464302063,SPEnglishBay,sstRe,11,1993
5.63495540618897,SPReefPoint,sstRe,11,1993
7.34486150741577,SGNorth,sstRe,07,1994
7.49653625488281,SGSouth,sstRe,07,1994
6.43452405929565,SPEast,sstRe,07,1994
6.78289222717285,SPEnglishBay,sstRe,07,1994
7.01515960693359,SPReefPoint,sstRe,07,1994
8.09249591827393,SGNorth,sstRe,08,1994
8.16785717010498,SGSouth,sstRe,08,1994
7.23893451690674,SPEast,sstRe,08,1994
7.5536994934082,SPEnglishBay,sstRe,08,1994
7.75439643859863,SPReefPoint,sstRe,08,1994
8.53056049346924,SGNorth,sstRe,09,1994
8.52672481536865,SGSouth,sstRe,09,1994
7.58826351165772,SPEast,sstRe,09,1994
8.06334590911865,SPEnglishBay,sstRe,09,1994
8.27212810516357,SPReefPoint,sstRe,09,1994
6.42441320419312,SGNorth,sstRe,10,1994
6.51146507263184,SGSouth,sstRe,10,1994
5.61859893798828,SPEast,sstRe,10,1994
6.01845550537109,SPEnglishBay,sstRe,10,1994
6.23087882995606,SPReefPoint,sstRe,10,1994
5.11567401885986,SGNorth,sstRe,11,1994
5.3147120475769,SGSouth,sstRe,11,1994
3.99781394004822,SPEast,sstRe,11,1994
4.616614818573,SPEnglishBay,sstRe,11,1994
4.87263345718384,SPReefPoint,sstRe,11,1994
7.93048334121704,SGNorth,sstRe,07,1995
7.77025032043457,SGSouth,sstRe,07,1995
6.76513051986694,SPEast,sstRe,07,1995
7.01516628265381,SPEnglishBay,sstRe,07,1995
7.35369253158569,SPReefPoint,sstRe,07,1995
9.58187389373779,SGNorth,sstRe,08,1995
9.44395732879639,SGSouth,sstRe,08,1995
8.99528408050537,SPEast,sstRe,08,1995
9.09444999694824,SPEnglishBay,sstRe,08,1995
9.31517791748047,SPReefPoint,sstRe,08,1995
9.48812294006348,SGNorth,sstRe,09,1995
9.28675174713135,SGSouth,sstRe,09,1995
9.39467334747314,SPEast,sstRe,09,1995
9.35265350341797,SPEnglishBay,sstRe,09,1995
9.42337608337402,SPReefPoint,sstRe,09,1995
6.83140659332275,SGNorth,sstRe,10,1995
7.17343378067017,SGSouth,sstRe,10,1995
5.73133325576782,SPEast,sstRe,10,1995
6.55873584747315,SPEnglishBay,sstRe,10,1995
6.67314004898071,SPReefPoint,sstRe,10,1995
4.91287708282471,SGNorth,sstRe,11,1995
5.32513809204102,SGSouth,sstRe,11,1995
3.68532943725586,SPEast,sstRe,11,1995
4.41649150848389,SPEnglishBay,sstRe,11,1995
4.67050552368164,SPReefPoint,sstRe,11,1995
7.98517417907715,SGNorth,sstRe,07,1996
8.18546676635742,SGSouth,sstRe,07,1996
7.10192489624023,SPEast,sstRe,07,1996
7.82543706893921,SPEnglishBay,sstRe,07,1996
